pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
zeus.pcap,192.168.10.1__80__192.168.10.2__1064,http,TCP,121.034136,1071,10,593,478,6,4,98.83333333333333,119.5,60,60,291,296,85.94264883565604,101.90559356580972,4.899444236128557979709129332,3.949299063860793784655925499,0.000070,105.978197,13.44823733333333333333333333,33.03929994424737269458022709,1064,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1065,http,TCP,97.013846,1139,10,671,468,6,4,111.83333333333333,117.0,60,60,369,286,115.0107482899847,97.57561170702442,6.916538490804704309939428646,4.824053671678988997096352618,0.000071,81.959963,10.77931622222222222222222222,25.58424345791900261150592439,1065,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1066,http,TCP,22.000846,4200,13,555,3645,7,6,79.28571428571429,607.5,60,60,193,1514,46.428791208271015,654.5129868841412,25.22630266127038932957396275,165.6754472078028272185533229,0.000067,14.852034,1.833403833333333333333333333,4.372183737346854177326542640,1066,80,FSPA,GET,HTTP/1.1,none,none,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,3050,application/octet-stream,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1067,http,TCP,121.030702,1071,10,593,478,6,4,98.83333333333333,119.5,60,60,291,296,85.94264883565604,101.90559356580972,4.899583247893579928173927306,3.949411117189091409219455738,0.000097,105.976468,13.44785577777777777777777778,33.03719566717194320167842369,1067,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1068,http,TCP,119.027571,1139,10,671,468,6,4,111.83333333333333,117.0,60,60,369,286,115.0107482899847,97.57561170702442,5.637349349924985027208528014,3.931862139739035756681953965,0.000071,103.971979,13.22528566666666666666666667,32.41670695561157704929232800,1068,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1069,http,TCP,121.019968,1071,10,593,478,6,4,98.83333333333333,119.5,60,60,291,296,85.94264883565604,101.90559356580972,4.900017821852340929391090237,3.949761414579121356237674761,0.000066,105.961432,13.44666311111111111111111111,33.03154031183656255961980772,1069,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1070,http,TCP,119.032413,1139,10,671,468,6,4,111.83333333333333,117.0,60,60,369,286,115.0107482899847,97.57561170702442,5.637120033851619894490419177,3.931702199467299717766790126,0.000073,103.976928,13.22582366666666666666666667,32.41667048866228368662473234,1070,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.2__1071,http,TCP,121.016697,1071,10,593,478,6,4,98.83333333333333,119.5,60,60,291,296,85.94264883565604,101.90559356580972,4.900150266041387660745690324,3.949868173976025804108667749,0.000068,105.962687,13.44629966666666666666666667,33.03601631450689909287806409,1071,80,FSPA,POST,HTTP/1.1,none,Keep-Alive,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1056,http,TCP,0.053922,972,9,570,402,5,4,114.0,100.5,60,60,328,220,107.00280370158532,68.99818838201479,10570.82452431289640591966173,7455.213085568042728385445644,0.000086,0.052982,0.00674025,0.01747777298992923754927414790,1056,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
zeus.pcap,192.168.10.1__80__192.168.10.5__1057,http,TCP,0.065889,979,9,525,454,5,4,105.0,113.5,60,60,283,272,89.00337072268668,91.51366018251046,7967.946091153303282793789555,6890.376238825904172168343730,0.000099,0.054688,0.008236125,0.01787739886307219470938630777,1057,80,FSPA,POST,HTTP/1.1,none,close,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1),200,none,text/html,Apache/1.3.35 (Win32) PHP/5.2.4
