pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
jsql_get_search_0.pcap,192.168.16.1__58184__192.168.16.2__80,http,TCP,0.093069,1477,10,667,810,6,4,111.16666666666667,202.5,66,66,329,604,97.4618158847636,231.82913966971452,7166.725762606238382275516015,8703.220191470844212358572672,0.000007,0.090554,0.010341,0.02836328286515665113072700637,58184,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58186__192.168.16.2__80,http,TCP,0.092693,1477,10,667,810,6,4,111.16666666666667,202.5,66,66,329,604,97.4618158847636,231.82913966971452,7195.796877865642497275953956,8738.523944634438414982792660,0.000003,0.085562,0.01029922222222222222222222222,0.02663962470030010588273695617,58186,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58188__192.168.16.2__80,http,TCP,0.087724,1476,10,666,810,6,4,111.0,202.5,66,66,328,604,97.08930596792489,231.82913966971452,7591.993069171492408006930829,9233.505084127490766494915873,0.000007,0.085584,0.009747111111111111111111111111,0.02681424723887758742442315362,58188,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58190__192.168.16.2__80,http,TCP,0.089357,1479,10,669,810,6,4,111.5,202.5,66,66,331,604,98.20683954457212,231.82913966971452,7486.822520899313987712210571,9064.762693465537115167250467,0.000004,0.086197,0.009928555555555555555555555556,0.02696801768808177265254923084,58190,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58192__192.168.16.2__80,http,TCP,0.094293,1478,10,668,810,6,4,111.33333333333333,202.5,66,66,330,604,97.83432708183543,231.82913966971452,7084.301061584635126679605061,8590.245299226877923069580987,0.000005,0.086353,0.010477,0.02688147562500574070332081602,58192,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58194__192.168.16.2__80,http,TCP,0.090582,1476,10,666,810,6,4,111.0,202.5,66,66,328,604,97.08930596792489,231.82913966971452,7352.454129959594621447969795,8942.173941842750215274557859,0.000004,0.084747,0.01006466666666666666666666667,0.02644849808800324130630292561,58194,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58196__192.168.16.2__80,http,TCP,0.090474,1481,10,671,810,6,4,111.83333333333333,202.5,66,66,333,604,98.95186820986365,231.82913966971452,7416.495346729447133983243805,8952.848332117514424033423967,0.000010,0.084713,0.01005266666666666666666666667,0.02643814455163851571858223688,58196,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58198__192.168.16.2__80,http,TCP,0.097750,1483,10,673,810,6,4,112.16666666666667,202.5,66,66,335,604,99.69690176842117,231.82913966971452,6884.910485933503836317135550,8286.445012787723785166240409,0.000004,0.082865,0.01086111111111111111111111111,0.02580067784830659764873641011,58198,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58200__192.168.16.2__80,http,TCP,0.097990,1477,10,667,810,6,4,111.16666666666667,202.5,66,66,329,604,97.4618158847636,231.82913966971452,6806.817022145116848658026329,8266.149607102765588325339320,0.000005,0.087214,0.01088777777777777777777777778,0.02712470413470093001292698313,58200,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
jsql_get_search_0.pcap,192.168.16.1__58204__192.168.16.2__80,http,TCP,0.096394,1478,10,668,810,6,4,111.33333333333333,202.5,66,66,330,604,97.83432708183543,231.82913966971452,6929.891901985600763532999979,8403.012635641222482727140693,0.000010,0.086687,0.01071044444444444444444444444,0.02696628118435280736204637682,58204,80,FSPA,GET,HTTP/1.1,"text/html, image/gif, image/jpeg, *; q=.2, */*; q=.2",Keep-Alive,Java/1.8.0_171,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
