pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
http_traff.pcap,10.0.16.22__80__192.168.16.22__35286,http,TCP,5.002063,412,6,272,140,4,2,68.0,70.0,66,66,74,74,3.4641016151377544,4.0,54.37756381716903605572340852,27.98845196471935679338704850,0.000012,5.001118,1.0004126,2.000352710719047167307552269,35286,80,FSA,none,none,none,none,none,none,none,none,none
http_traff.pcap,10.0.16.22__80__192.168.16.22__35288,http,TCP,5.001960,412,6,272,140,4,2,68.0,70.0,66,66,74,74,3.4641016151377544,4.0,54.37868355604602995625714720,27.98902830090604483042647282,0.000007,5.001121,1.000392,2.000364507515767737208202635,35288,80,FSA,none,none,none,none,none,none,none,none,none
http_traff.pcap,10.0.16.22__80__192.168.16.22__35330,http,TCP,17.003640,7179,33,4691,2488,20,13,234.55,191.3846153846154,66,66,509,248,186.44180727508518,82.282382880811,275.8821052433478949213227285,146.3216111373799962831487846,0.000004,9.968016,0.53136375,1.989034754707025600694987856,35330,80,FSPA,GET,HTTP/1.1,"application/font-woff2;q=1.0,application/font-woff;q=0.9,*/*;q=0.8",keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,304,none,none,nginx/1.6.2
http_traff.pcap,10.0.16.22__80__192.168.16.22__35332,http,TCP,16.927598,4988,25,3242,1746,15,10,216.13333333333333,174.6,66,66,501,247,183.87962245870412,87.06916790690032,191.5215614170421580191117488,103.1451715713003108887628357,0.000011,9.988032,0.7053165833333333333333333333,2.276127579573234230139264250,35332,80,FSPA,GET,HTTP/1.1,"application/font-woff2;q=1.0,application/font-woff;q=0.9,*/*;q=0.8",keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,304,none,none,nginx/1.6.2
http_traff.pcap,10.0.16.22__80__192.168.16.22__35334,http,TCP,16.923524,4291,22,2790,1501,13,9,214.6153846153846,166.77777777777777,66,66,498,246,187.35837254660817,88.38021118098249,164.8592810811743464304479374,88.69311143471064300792199072,0.000006,9.960100,0.8058820952380952380952380952,2.411021059542653892389999726,35334,80,FSPA,GET,HTTP/1.1,"application/font-woff2;q=1.0,application/font-woff;q=0.9,*/*;q=0.8",keep-alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,304,none,none,nginx/1.6.2
http_traff.pcap,10.0.16.3__80__192.168.16.22__46394,http,TCP,5.006886,1467,10,628,839,5,5,125.6,167.8,66,66,356,567,115.24165913418636,199.6240466476922,125.4272615753584163889491392,167.5692236651683301756820507,0.000009,5.004643,0.5563206666666666666666666667,1.572719457833822030287202052,46394,80,FSPA,GET,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,404,284,text/html; charset=iso-8859-1,Apache/2.4.29 (Ubuntu)
http_traff.pcap,192.168.16.20__80__192.168.16.22__42476,http,TCP,23.081842,104558,92,7072,97486,48,44,147.33333333333334,2215.590909090909,66,66,634,8754,163.48679015613325,2505.000048250606,306.3880257043610297653020933,4223.493081704657713192907221,0.000006,10.059049,0.2536466153846153846153846154,1.222108922945084681762755860,42476,80,FSPA,GET,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,18902,text/html,Apache/1.3.37 (Unix) PHP/4.4.4
http_traff.pcap,192.168.16.20__80__192.168.16.22__42478,http,TCP,19.294165,15078,28,2285,12793,16,12,142.8125,1066.0833333333333,66,66,574,2962,162.37888515367385,1042.5155840828259,118.4295873907992390445505157,663.0502019652055427120064538,0.000007,10.031490,0.7145987037037037037037037037,2.215019882730841142176192294,42478,80,FSPA,GET,HTTP/1.1,*/*,Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,5658,image/png,Apache/1.3.37 (Unix) PHP/4.4.4
http_traff.pcap,192.168.16.20__80__192.168.16.22__42480,http,TCP,5.001394,412,6,272,140,4,2,68.0,70.0,66,66,74,74,3.4641016151377544,4.0,54.38483750730296393365529690,27.99219577581770202467552046,0.000025,5.000982,1.0002788,2.000351601941358708196880580,42480,80,FSA,none,none,none,none,none,none,none,none,none
http_traff.pcap,192.168.16.20__80__192.168.16.22__42484,http,TCP,15.507734,6975,23,2476,4499,13,10,190.46153846153845,449.9,66,66,422,1514,156.53832923827335,421.3619465495193,159.6622691619549316489436819,290.1133073342630199873172960,0.000011,10.012002,0.704897,2.322957073676860615173644251,42484,80,FSPA,GET,HTTP/1.1,*/*,Keep-Alive,Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0,200,245,image/gif,Apache/1.3.37 (Unix) PHP/4.4.4
http_traff.pcap,192.168.16.20__80__192.168.16.22__42486,http,TCP,5.491053,412,6,272,140,4,2,68.0,70.0,66,66,74,74,3.4641016151377544,4.0,49.53512559430768561148471887,25.49602052648189700591125236,0.000021,5.490677,1.0982106,2.196233201104891775331329607,42486,80,FSA,none,none,none,none,none,none,none,none,none
