pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server
broken_auth_0.pcap,192.168.16.2__59726__192.168.16.5__80,http,TCP,0.002044,1722,10,884,838,5,5,176.8,167.6,66,66,612,566,217.62205770555522,199.22409492829925,432485.3228962818003913894325,409980.4305283757338551859100,0.000000,0.000515,0.0002271111111111111111111111111,0.0001787204175641971458023247795,59726,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59728__192.168.16.5__80,http,TCP,0.001989,1711,10,873,838,5,5,174.6,167.6,66,66,601,566,213.22251288266912,199.22409492829925,438914.0271493212669683257919,421317.2448466566113624937154,0.000000,0.000570,0.000221,0.0001923266896599521767881593384,59728,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59730__192.168.16.5__80,http,TCP,0.005215,1714,10,876,838,5,5,175.2,167.6,66,66,604,566,214.42238689092142,199.22409492829925,167976.9894534995206136145733,160690.3163950143815915627996,0.000000,0.003475,0.0005794444444444444444444444444,0.001043197553583437587138430394,59730,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59732__192.168.16.5__80,http,TCP,0.001895,1712,10,874,838,5,5,174.8,167.6,66,66,602,566,213.62247072815165,199.22409492829925,461213.7203166226912928759894,442216.3588390501319261213720,0.000000,0.000547,0.0002105555555555555555555555556,0.0001919282916502996155811987069,59732,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59734__192.168.16.5__80,http,TCP,0.029430,1710,10,872,838,5,5,174.4,167.6,66,66,600,566,212.8225551956371,199.22409492829925,29629.62962962962962962962963,28474.34590553856608902480462,0.000000,0.027781,0.003270,0.008668185546391278458133824529,59734,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59736__192.168.16.5__80,http,TCP,0.002118,1720,10,882,838,5,5,176.4,167.6,66,66,610,566,216.82213909100705,199.22409492829925,416430.5949008498583569405099,395656.2795089707271010387158,0.000000,0.000621,0.0002353333333333333333333333333,0.0002091915655831064119891689309,59736,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59738__192.168.16.5__80,http,TCP,0.002498,1714,10,876,838,5,5,175.2,167.6,66,66,604,566,214.42238689092142,199.22409492829925,350680.5444355484387510008006,335468.3746997598078462770216,0.000000,0.000726,0.0002775555555555555555555555556,0.0002342681801844065639066043870,59738,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59740__192.168.16.5__80,http,TCP,0.002199,1717,10,879,838,5,5,175.8,167.6,66,66,607,566,215.6222623014609,199.22409492829925,399727.1487039563437926330150,381082.3101409731696225557071,0.000000,0.000591,0.0002443333333333333333333333333,0.0002045314428421975199339142403,59740,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59742__192.168.16.5__80,http,TCP,0.002111,1715,10,877,838,5,5,175.4,167.6,66,66,605,566,214.82234520645193,199.22409492829925,415442.9180483183325438180957,396968.2614874467077214590242,0.000000,0.000600,0.0002345555555555555555555555556,0.0002109855767114115162880626685,59742,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
broken_auth_0.pcap,192.168.16.2__59744__192.168.16.5__80,http,TCP,0.002192,1713,10,875,838,5,5,175.0,167.6,66,66,603,566,214.0224287311963,199.22409492829925,399178.8321167883211678832117,382299.2700729927007299270073,0.000000,0.000625,0.0002435555555555555555555555556,0.0002136373412590760397854009033,59744,80,FSPA,POST,HTTP/1.1,"text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8",close,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,302,0,text/html,Apache/2.2.8 (Ubuntu) DAV/2 mod_fastcgi/2.4.6 PHP/5.2.4-2ubuntu5 with Suhosin-Patch mod_ssl/2.2.8 OpenSSL/0.9.8g
