pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack
zeus.pcap,192.168.10.1__80__192.168.10.2__1064,http,0.0,0.9995129765549186,0.0006393649408388757,0.020348837209302327,0.011000226808800181,0.0003490862776229123,0.023668639053254437,0.022727272727272728,0.03714883207070705,0.015359796215408143,0.5,0.8108108108108109,0.13397399660825324,0.008200127434412832,0.13724095077032059,0.010027824760084108,4.097009451650085e-06,5.745029622951178e-07,2.4501610980921992e-05,1.0,1.0,0.9999616855189483,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1066,http,0.0,0.1816828099833208,0.0028998992909912394,0.029069767441860465,0.010138353368110684,0.0026619654433797393,0.029585798816568046,0.03409090909090909,0.02095170454545455,0.07808431967247235,0.5,0.8108108108108109,0.07857546636517806,0.04194254370169266,0.07414166929767955,0.06440609691787771,3.496314223091301e-05,2.410074133697111e-05,2.3451541938882482e-05,0.1401393925476792,0.13632282407739882,0.13232460733531023,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
http_traff.pcap,10.0.16.22__80__192.168.16.22__35332,http,0.0,0.13978724883515511,0.003469186944529131,0.06395348837209303,0.0710818779768655,0.0012751143111498012,0.07692307692307693,0.056818181818181816,0.13434343434343432,0.0224420118762365,1.0,0.8918918918918919,0.2526851328434144,0.006842673906418816,0.29363551805085,0.008567874708593754,0.00028748084221000953,1.500448703832041e-05,3.8502531541448845e-06,0.09424298281550052,0.05243843518157063,0.06888550773024554,0.08974358974358974,0.0,0.4,0.0,0.0,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,1.0,0.6,0.6666666666666666,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1070,http,0.0,0.9829824800469241,0.000688491286575648,0.020348837209302327,0.012769335450215469,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.047920612373737355,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,5.217162829232822e-06,5.719431534384838e-07,2.5551680022961508e-05,0.9811161545557944,0.9834613550410984,0.9811172228343872,0.24358974358974358,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1100,http,0.0,0.0004311902019752085,0.0005678427610162218,0.01744186046511628,0.010478566568382853,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.04971590909090909,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.016454280899771436,0.001111932992325293,2.9751956191119566e-05,0.00048476175659075576,0.00048004756712948123,0.0005130417362015949,0.5769230769230769,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0
broken_auth_2.pcap,192.168.16.2__59828__192.168.16.5__80,http,0.0,1.716040218532354e-05,0.011112668384162245,0.03488372093023256,0.02347471081877977,0.010534664340398557,0.03550295857988166,0.03977272727272727,0.07364169034090909,0.2648715605585923,1.0,0.8918918918918919,0.3499152063312606,0.12217081751946145,0.3199936306301288,0.19121743041139502,0.7066880888449912,0.8543969895275895,1.4000920560526854e-06,3.981964832041479e-06,4.250811078894934e-06,2.505764659504109e-06,0.358974358974359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0
broken_auth_0.pcap,192.168.16.2__59726__192.168.16.5__80,http,0.0,1.375805103019683e-05,0.0011096774566423876,0.020348837209302327,0.01760036289408029,0.000611996444870294,0.01775147928994083,0.028409090909090908,0.10175189393939395,0.02154227485943435,1.0,0.8918918918918919,0.31543244771057094,0.015679973404992106,0.34751847322295737,0.019604265497332043,0.6567213277543474,0.059639689983701324,0.0,1.4153903431427063e-06,8.093916528282199e-06,1.7873029401600377e-06,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
jsql_get_search_0.pcap,192.168.16.1__58218__192.168.16.2__80,http,0.0,0.0007276489498341738,0.0046467743496899985,0.03197674418604651,0.0897482422317986,0.001864471269396015,0.03550295857988166,0.03409090909090909,0.3762872869318182,0.05469115723561644,1.0,0.8918918918918919,0.6178631995477671,0.016732692467518077,0.735880182642044,0.024737287495833895,0.06975134593024222,0.00419685497339964,6.650437266250256e-06,0.0003806928226272831,0.000497373410155123,0.0003470440002124402,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
normal_traffic_1.pcap,192.168.16.2__59190__192.168.16.5__80,http,0.0,0.12384813380997851,0.0033398690638396862,0.03197674418604651,0.018439555454751646,0.002839429806271722,0.029585798816568046,0.03977272727272727,0.06427556818181819,0.07139137798626044,1.0,0.8918918918918919,0.26172979084228376,0.08205668061057705,0.2513101763046032,0.09828057899001247,8.99081652606238e-05,3.771203881578545e-05,1.7501150700658568e-06,0.09488751383402522,0.08577664853921485,0.0873156643584295,0.9743589743589743,0.0,0.4,0.0,0.0,0.0,0.0,0.625,0.0,0.5581395348837209,0.26666666666666666,0.1111111111111111,0.0
jsql_get_search_0.pcap,192.168.16.1__58226__192.168.16.2__80,http,0.0,0.0014970097338541366,0.02920489009425034,0.1511627906976744,0.6391245180312997,0.009000291392102032,0.1242603550295858,0.18181818181818182,0.974323740118577,0.04950160265656118,1.0,0.8918918918918919,1.0,0.016732692467518077,1.0,0.025925790320863035,0.23645328524540993,0.009869078048234923,3.8502531541448845e-06,0.0005732802686509006,0.00024135109948460312,0.0002940968528414576,0.38461538461538464,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
