pcap_name,session_identifier,service,protocol,duration,total_count_bytes,total_count_packets,src_count_bytes,dst_count_bytes,src_count_packets,dst_count_packets,src_mean_packet_size,dst_mean_packet_size,src_min_packet_size,dst_min_packet_size,src_max_packet_size,dst_max_packet_size,src_std_packet_size,dst_std_packet_size,src_bytes_per_sec,dst_bytes_per_sec,min_time_delay,max_time_delay,mean_time_delay,std_time_delay,src_port,dst_port,flags,http_method,http_version,http_accept,http_connection,http_user_agent,http_status_code,http_content_length,http_content_type,http_server,attack_sqlinj,attack_brokauth,attack_zeus
zeus.pcap,192.168.10.1__80__192.168.10.2__1070,http,0.0,0.9829824800469241,0.000688491286575648,0.020348837209302327,0.01820003879226741,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.04918345966598877,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,5.995532675787595e-06,5.719431534384838e-07,2.5551680022961508e-05,0.9811161545557944,0.9834613550410984,0.9811172228343872,0.24358974358974358,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1068,http,0.0,0.9829424941627174,0.000688491286575648,0.020348837209302327,0.01820003879226741,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.04918345966598877,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,5.995932841466081e-06,5.719664198861284e-07,2.4851633994935167e-05,0.9810694561104063,0.9834213494464727,0.9811183265407071,0.21794871794871795,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
zeus.pcap,192.168.10.1__80__192.168.10.5__1095,http,0.0,0.00043262711726887857,0.0005678427610162218,0.01744186046511628,0.014935022952091549,0.0002935830200929095,0.01775147928994083,0.022727272727272728,0.051026067665002776,0.01291765288408802,0.5,0.8108108108108109,0.15488976823063877,0.006094689309360889,0.17087170007032573,0.006789634578903576,0.018846795215705557,0.0011082663065680896,2.9751956191119566e-05,0.0004862998140969708,0.00048166489367801216,0.0005146575199930729,0.5256410256410257,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
broken_auth_2.pcap,192.168.16.2__59852__192.168.16.5__80,http,0.0,1.4286571597983506e-05,0.011207308844331614,0.040697674418604654,0.03555957845736083,0.010582864537727244,0.04142011834319527,0.045454545454545456,0.06822374232246668,0.23282301982999937,1.0,0.8918918918918919,0.34934991520633124,0.1547774053245422,0.3036478524278164,0.2052170966983831,1.0,1.0,1.0500690420395141e-06,3.821553926485305e-06,1.0028794387469726e-06,1.9977578399615397e-06,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,1.0,0.0
normal_traffic_1.pcap,192.168.16.2__59146__192.168.16.5__80,http,0.0,0.12572840353681672,0.0017223118858303724,0.02616279069767442,0.02059222861576259,0.0013328084867401987,0.023668639053254437,0.03409090909090909,0.05967215135268382,0.039095715611045835,1.0,0.8918918918918919,0.19954776710005653,0.04119455910463474,0.20203953559466595,0.05205397361768119,8.154702673252223e-05,1.7437043630819737e-05,1.4000920560526854e-06,0.09441738721358256,0.1029131625688958,0.09305236638168789,0.8333333333333334,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.625,0.0,0.046511627906976744,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1067,http,0.0,0.9994846181232032,0.0006393649408388757,0.020348837209302327,0.01567854141074546,0.0003490862776229123,0.023668639053254437,0.022727272727272728,0.038127811671904835,0.015359796215408143,0.5,0.8108108108108109,0.13397399660825324,0.008200127434412832,0.13724095077032059,0.010027824760084108,4.708501618475584e-06,5.745192626481681e-07,3.395223235927762e-05,0.9999836852673114,0.9999716275894373,0.9998979976055832,0.20512820512820512,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
jsql_get_search_0.pcap,192.168.16.1__58218__192.168.16.2__80,http,0.0,0.0007276489498341738,0.0046467743496899985,0.03197674418604651,0.12791750177797892,0.001864471269396015,0.03550295857988166,0.03409090909090909,0.3862035496394898,0.05469115723561644,1.0,0.8918918918918919,0.6178631995477671,0.016732692467518077,0.735880182642044,0.024737287495833895,0.08015783432360817,0.00419685497339964,6.650437266250256e-06,0.0003806928226272831,0.000497373410155123,0.0003470440002124402,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
broken_auth_0.pcap,192.168.16.2__59724__192.168.16.5__80,http,0.0,1.5558324214220188e-05,0.0011024529940340388,0.020348837209302327,0.024762397362125817,0.000611996444870294,0.01775147928994083,0.028409090909090908,0.10273248289887227,0.02154227485943435,1.0,0.8918918918918919,0.30977953646127754,0.015679973404992106,0.3411315730412198,0.019604265497332043,0.6742511537786484,0.053891921452999786,0.0,2.1230855147140587e-06,9.89507712894336e-06,3.0608674477530656e-06,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
jsql_get_search_1.pcap,192.168.16.1__58264__192.168.16.2__80,http,0.0,0.0016430713476423065,0.0009362903540420146,0.020348837209302327,0.0182323656817741,0.0005915478763066088,0.023668639053254437,0.022727272727272728,0.049325198742836016,0.026028106557490785,1.0,0.8918918918918919,0.1582815149802148,0.016732692467518077,0.15861010955868743,0.022812702478276253,0.005878846358703141,0.0005910965951765034,2.8001841121053708e-06,0.001786099945883022,0.0016382103577648494,0.001790342622848797,0.5128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zeus.pcap,192.168.10.1__80__192.168.10.2__1061,http,0.0,0.9828487147944709,0.000688491286575648,0.020348837209302327,0.01820003879226741,0.00034178321742159615,0.023668639053254437,0.022727272727272728,0.04918345966598877,0.015038461566550232,0.5,0.8108108108108109,0.17806670435274166,0.007923096102169156,0.1836595061702933,0.009601741188271125,5.996871482506463e-06,5.720209943881341e-07,3.2202117289211764e-05,0.980983079555732,0.9833275238511464,0.9810081945301677,0.1282051282051282,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.13333333333333333,0.0,0.0,0.0,1.0
